Name;Platform;Genre;Publisher;Global_Sales (MM);Year
Star Wars Battlefront (2015);PS4;Shooter;Electronic Arts;7.67;2015
Call of Duty: Advanced Warfare;PS4;Shooter;Activision;7.6;2014
The Legend of Zelda: Ocarina of Time;N64;Action;Nintendo;7.6;1998
Crash Bandicoot 2: Cortex Strikes Back;PS;Platform;Sony Computer Entertainment;7.58;1997
Super Mario Bros. 2;NES;Platform;Nintendo;7.46;1988
Super Smash Bros. for Wii U and 3DS;3DS;Fighting;Nintendo;7.45;2014
Call of Duty: World at War;X360;Shooter;Activision;7.37;2008
Battlefield 3;X360;Shooter;Electronic Arts;7.34;2011
The Legend of Zelda: Twilight Princess;Wii;Action;Nintendo;7.31;2006
Call of Duty: Black Ops 3;XOne;Shooter;Activision;7.3;2015
Just Dance;Wii;Misc;Ubisoft;7.27;2009
Battlefield 3;PS3;Shooter;Electronic Arts;7.23;2011
Need for Speed Underground;PS2;Racing;Electronic Arts;7.2;2003
Tekken 3;PS;Fighting;Sony Computer Entertainment;7.16;1998
Crash Bandicoot 3: Warped;PS;Platform;Sony Computer Entertainment;7.13;1998
Super Smash Bros. Melee;GC;Fighting;Nintendo;7.07;2001
Mario Kart 8;WiiU;Racing;Nintendo;6.96;2014
Fallout 4;PS4;Role-Playing;Bethesda Softworks;6.96;2015
Mario Kart: Double Dash!!;GC;Racing;Nintendo;6.95;2003
Just Dance 4;Wii;Misc;Ubisoft;6.91;2012
FIFA 14;PS3;Sports;Electronic Arts;6.9;2013
Need for Speed Underground 2;PS2;Racing;Electronic Arts;6.9;2004
Medal of Honor: Frontline;PS2;Shooter;Electronic Arts;6.83;2002
Uncharted 3: Drake's Deception;PS3;Action;Sony Computer Entertainment;6.83;2011
Crash Bandicoot;PS;Platform;Sony Computer Entertainment;6.82;1996
Zumba Fitness;Wii;Sports;505 Games;6.81;2010
Gears of War 2;X360;Shooter;Microsoft Game Studios;6.76;2008
Uncharted 2: Among Thieves;PS3;Action;Sony Computer Entertainment;6.73;2009
Call of Duty 4: Modern Warfare;PS3;Shooter;Activision;6.72;2007
FIFA 12;PS3;Sports;Electronic Arts;6.69;2011
Big Brain Academy;DS;Misc;Nintendo;6.67;2005
Red Dead Redemption;PS3;Action;Take-Two Interactive;6.6;2010
FIFA 15;PS4;Sports;Electronic Arts;6.59;2014
Donkey Kong Country Returns;Wii;Platform;Nintendo;6.59;2010
The Elder Scrolls V: Skyrim;PS3;Role-Playing;Bethesda Softworks;6.56;2011
The Legend of Zelda;NES;Action;Nintendo;6.51;1986
Assassin's Creed III;PS3;Action;Ubisoft;6.5;2012
Halo: Combat Evolved;XB;Shooter;Microsoft Game Studios;6.43;2001
Pokémon Emerald Version;GBA;Role-Playing;Nintendo;6.41;2004
Kingdom Hearts;PS2;Role-Playing;Sony Computer Entertainment;6.4;2002
Pokémon Crystal Version;GB;Role-Playing;Nintendo;6.39;2000
Halo 3: ODST;X360;Shooter;Microsoft Game Studios;6.36;2009
Red Dead Redemption;X360;Action;Take-Two Interactive;6.34;2010
Super Mario Sunshine;GC;Platform;Nintendo;6.31;2002
Street Fighter II: The World Warrior;SNES;Fighting;Capcom;6.3;1992
World of Warcraft;PC;Role-Playing;Activision;6.28;2004
Driver;PS;Action;GT Interactive;6.27;1999
Kinect Sports;X360;Sports;Microsoft Game Studios;6.24;2010
Gears of War 3;X360;Shooter;Microsoft Game Studios;6.24;2011
Gears of War;X360;Shooter;Microsoft Game Studios;6.11;2006
Metal Gear Solid 2: Sons of Liberty;PS2;Action;Konami Digital Entertainment;6.05;2001
Sonic the Hedgehog 2;GEN;Platform;Sega;6.03;1992
Metal Gear Solid 4: Guns of the Patriots;PS3;Action;Konami Digital Entertainment;6.03;2008
Metal Gear Solid;PS;Action;Konami Digital Entertainment;6.03;1998
The Last of Us;PS3;Action;Sony Computer Entertainment Europe;5.99;2013
Final Fantasy XII;PS2;Role-Playing;Square Enix;5.95;2006
LittleBigPlanet;PS3;Platform;Sony Computer Entertainment;5.92;2008
Dragon Quest IX: Sentinels of the Starry Skies;DS;Role-Playing;Nintendo;5.84;2009
LEGO Star Wars: The Complete Saga;Wii;Action;LucasArts;5.83;2007
Resident Evil 2;PS;Action;Virgin Interactive;5.82;1998
Tekken 2;PS;Fighting;Sony Computer Entertainment;5.74;1996
Cooking Mama;DS;Simulation;505 Games;5.72;2006
Destiny;PS4;Shooter;Activision;5.65;2014
Tetris;NES;Puzzle;Nintendo;5.58;1988
Assassin's Creed II;PS3;Action;Ubisoft;5.57;2009
Super Smash Bros.;N64;Fighting;Nintendo;5.55;1999
Assassin's Creed;X360;Adventure;Ubisoft;5.55;2007
Batman: Arkham City;PS3;Action;Warner Bros. Interactive Entertainment;5.53;2011
Forza Motorsport 3;X360;Racing;Microsoft Game Studios;5.51;2009
Monster Hunter Freedom Unite;PSP;Role-Playing;Capcom;5.5;2008
Super Mario Advance;GBA;Platform;Nintendo;5.49;2001
Mario Kart: Super Circuit;GBA;Racing;Nintendo;5.47;2001
Super Mario World;GBA;Platform;Nintendo;5.46;2001
Pokemon Stadium;N64;Strategy;Nintendo;5.45;1999
Call of Duty: World at War;PS3;Shooter;Activision;5.43;2008
Crash Bandicoot: The Wrath of Cortex;PS2;Platform;Universal Interactive;5.42;2001
Minecraft;PS3;Misc;Sony Computer Entertainment;5.42;2014
Final Fantasy XIII;PS3;Role-Playing;Square Enix;5.36;2009
Dr. Mario;GB;Puzzle;Nintendo;5.34;1989
Pokemon Pinball;GB;Misc;Nintendo;5.31;1999
Assassin's Creed III;X360;Action;Ubisoft;5.3;2012
Final Fantasy IX;PS;Role-Playing;SquareSoft;5.3;2000
Final Fantasy X-2;PS2;Role-Playing;Electronic Arts;5.29;2003
Donkey Kong 64;N64;Platform;Nintendo;5.27;1999
Assassin's Creed II;X360;Action;Ubisoft;5.27;2009
Professor Layton and the Curious Village;DS;Puzzle;Nintendo;5.26;2007
Tomb Raider II;PS;Action;Eidos Interactive;5.24;1997
Dragon Quest VIII: Journey of the Cursed King;PS2;Role-Playing;Square Enix;5.21;2004
Diablo III;PC;Role-Playing;Activision;5.2;2012
Super Mario Bros. 3;GBA;Platform;Nintendo;5.2;2003
New Super Mario Bros. U;WiiU;Platform;Nintendo;5.19;2012
Super Mario Land 3: Wario Land;GB;Platform;Nintendo;5.19;1994
FIFA Soccer 13;X360;Action;Electronic Arts;5.18;2012
The Legend of Zelda: Phantom Hourglass;DS;Action;Nintendo;5.17;2007
Donkey Kong Country 2: Diddy's Kong Quest;SNES;Platform;Nintendo;5.15;1995
Tomodachi Life;3DS;Simulation;Nintendo;5.15;2013
Mario & Sonic at the Olympic Games;DS;Sports;Sega;5.14;2008
Medal of Honor: Rising Sun;PS2;Shooter;Electronic Arts;5.13;2003
Kirby's Dream Land;GB;Platform;Nintendo;5.13;1992
Fable III;X360;Role-Playing;Microsoft Game Studios;5.13;2010
Call of Duty: Advanced Warfare;XOne;Shooter;Activision;5.13;2014
Microsoft Flight Simulator;PC;Simulation;Microsoft Game Studios;5.12;1996
Guitar Hero II;PS2;Misc;RedOctane;5.12;2006
Resident Evil 5;PS3;Action;Capcom;5.11;2009
Grand Theft Auto V;XOne;Action;Take-Two Interactive;5.08;2014
Grand Theft Auto: Vice City Stories;PSP;Action;Take-Two Interactive;5.08;2006
FIFA Soccer 11;PS3;Sports;Electronic Arts;5.08;2010
Super Mario Bros.;GB;Platform;Nintendo;5.07;1999
Resident Evil;PS;Action;Virgin Interactive;5.05;1996
Tony Hawk's Pro Skater;PS;Sports;Activision;5.02;1999
Super Smash Bros. for Wii U and 3DS;WiiU;Fighting;Nintendo;5.02;2014
Warzone 2100;PS;Strategy;Eidos Interactive;5.01;1999
Spyro the Dragon;PS;Platform;Sony Computer Entertainment;5.0;1998
Link's Crossbow Training;Wii;Shooter;Nintendo;5.0;2007
Guitar Hero III: Legends of Rock;PS2;Misc;Activision;4.98;2007
Fallout 3;X360;Role-Playing;Bethesda Softworks;4.96;2008
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;Role-Playing;Nintendo;4.96;2007
Uncharted: Drake's Fortune;PS3;Action;Sony Computer Entertainment;4.94;2007
Madden NFL 06;PS2;Sports;Electronic Arts;4.91;2005
LEGO Star Wars: The Complete Saga;DS;Action;LucasArts;4.9;2007
Diddy Kong Racing;N64;Racing;Nintendo;4.88;1997
Monster Hunter Freedom 3;PSP;Role-Playing;Capcom;4.87;2010
Dr. Mario;NES;Puzzle;Nintendo;4.85;1990
God of War III;PS3;Action;Sony Computer Entertainment;4.84;2010
StarCraft II: Wings of Liberty;PC;Strategy;Activision;4.83;2010
Assassin's Creed;PS3;Adventure;Ubisoft;4.83;2007
FIFA 15;PS3;Sports;Electronic Arts;4.82;2014
Crash Team Racing;PS;Racing;Sony Computer Entertainment;4.79;1999
FIFA 17;PS4;Sports;Electronic Arts;4.77;2016
Batman: Arkham City;X360;Action;Warner Bros. Interactive Entertainment;4.76;2011
Driver 2;PS;Action;Atari;4.73;2000
The Simpsons: Hit & Run;PS2;Racing;Vivendi Games;4.7;2003
Tony Hawk's Pro Skater 2;PS;Sports;Activision;4.68;2000
Animal Crossing: City Folk;Wii;Simulation;Nintendo;4.68;2008
The Lord of the Rings: The Two Towers;PS2;Action;Electronic Arts;4.67;2002
Forza Motorsport 4;X360;Racing;Microsoft Game Studios;4.64;2011
Tomb Raider;PS;Action;Eidos Interactive;4.63;1996
Guitar Hero III: Legends of Rock;Wii;Misc;Activision;4.62;2007
The Legend of Zelda: A Link to the Past;SNES;Action;Nintendo;4.61;1991
The Legend of Zelda: The Wind Waker;GC;Action;Nintendo;4.6;2002
Mario & Sonic at the Olympic Winter Games;Wii;Sports;Sega;4.58;2009
Luigi's Mansion: Dark Moon;3DS;Action;Nintendo;4.58;2013
Splatoon;WiiU;Shooter;Nintendo;4.57;2015
The Last of Us;PS4;Action;Sony Computer Entertainment;4.55;2014
Guitar Hero III: Legends of Rock;X360;Misc;Activision;4.53;2007
Madden NFL 2005;PS2;Sports;Electronic Arts;4.53;2004
Pitfall!;2600;Platform;Activision;4.5;1981
Madden NFL 07;PS2;Sports;Electronic Arts;4.49;2006
Spider-Man: The Movie;PS2;Action;Activision;4.48;2002
Dragon Quest VII: Warriors of Eden;PS;Role-Playing;Enix Corporation;4.47;2000
Uncharted: The Nathan Drake Collection;PS4;Action;Sony Computer Entertainment;4.47;2015
Call of Duty: Advanced Warfare;PS3;Shooter;Activision;4.45;2014
God of War;PS2;Action;Sony Computer Entertainment;4.45;2005
Nintendo Land;WiiU;Misc;Nintendo;4.44;2012
Michael Jackson: The Experience;Wii;Misc;Ubisoft;4.42;2010
Tony Hawk's Pro Skater 3;PS2;Sports;Activision;4.41;2001
Winning Eleven: Pro Evolution Soccer 2007;PS2;Sports;Konami Digital Entertainment;4.39;2006
The Elder Scrolls IV: Oblivion;X360;Role-Playing;Take-Two Interactive;4.39;2006
Zelda II: The Adventure of Link;NES;Adventure;Nintendo;4.38;1987
Need for Speed: Most Wanted;PS2;Racing;Electronic Arts;4.37;2005
Resistance: Fall of Man;PS3;Shooter;Sony Computer Entertainment;4.35;2006
Sonic the Hedgehog;GEN;Platform;Sega;4.34;1991
Kingdom Hearts II;PS2;Role-Playing;Square Enix;4.33;2005
FIFA 14;X360;Sports;Electronic Arts;4.31;2013
Call of Duty: Advanced Warfare;X360;Shooter;Activision;4.31;2014
Asteroids;2600;Shooter;Atari;4.31;1980
Fable II;X360;Role-Playing;Microsoft Game Studios;4.31;2008
Halo 5: Guardians;XOne;Shooter;Microsoft Game Studios;4.26;2015
Super Mario 3D World;WiiU;Platform;Nintendo;4.25;2013
Batman: Arkham Asylum;PS3;Action;Eidos Interactive;4.25;2009
Assassin's Creed: Revelations;PS3;Action;Ubisoft;4.24;2011
Namco Museum;GBA;Misc;Namco Bandai Games;4.24;2001
Metal Gear Solid 3: Snake Eater;PS2;Action;Konami Digital Entertainment;4.23;2004
Daxter;PSP;Platform;Sony Computer Entertainment;4.22;2006
Warcraft II: Tides of Darkness;PC;Strategy;Activision;4.21;1995
The Legend of Zelda: Ocarina of Time;3DS;Action;Nintendo;4.21;2011
FIFA Soccer 06;PS2;Sports;Electronic Arts;4.21;2005
EyeToy Play;PS2;Misc;Sony Computer Entertainment;4.2;2003
Uncharted 4: A Thief's End;PS4;Shooter;Sony Computer Entertainment;4.2;2016
Gran Turismo 5 Prologue;PS3;Racing;Sony Computer Entertainment;4.2;2007
Assassin's Creed: Revelations;X360;Action;Ubisoft;4.19;2011
Street Fighter IV;PS3;Fighting;Capcom;4.19;2009
FIFA 12;X360;Sports;Electronic Arts;4.19;2011
Teenage Mutant Ninja Turtles;NES;Action;Palcom;4.17;1989
Excitebike;NES;Racing;Nintendo;4.16;1984
Frogger;PS;Action;Hasbro Interactive;4.16;1997
Madden NFL 2003;PS2;Sports;Electronic Arts;4.14;2002
Watch Dogs;PS4;Action;Ubisoft;4.14;2014
Half-Life;PC;Shooter;Vivendi Games;4.12;1997
Super Mario World 2: Yoshi's Island;SNES;Platform;Nintendo;4.12;1995
FIFA Soccer 07;PS2;Sports;Electronic Arts;4.11;2006
The Legend of Zelda: Skyward Sword;Wii;Action;Nintendo;4.1;2011
Street Fighter II Turbo;SNES;Fighting;Capcom;4.1;1992
Carnival Games;Wii;Misc;Take-Two Interactive;4.1;2007
Fallout 4;XOne;Role-Playing;Bethesda Softworks;4.09;2015
World of Warcraft: The Burning Crusade;PC;Role-Playing;Activision;4.09;2007
Fallout: New Vegas;X360;Role-Playing;Bethesda Softworks;4.08;2010
God of War II;PS2;Action;Sony Computer Entertainment;4.07;2007
Forza Motorsport 2;X360;Racing;Microsoft Game Studios;4.06;2007
World Soccer Winning Eleven 9;PS2;Sports;Konami Digital Entertainment;4.06;2005
Namco Museum Vol.3;PS;Misc;Sony Computer Entertainment;4.05;1996
Tekken Tag Tournament;PS2;Fighting;Namco Bandai Games;4.05;2000
Far Cry 4;PS4;Shooter;Ubisoft;4.03;2014
Star Fox 64;N64;Shooter;Nintendo;4.03;1997
Minecraft;PS4;Misc;Sony Computer Entertainment Europe;4.02;2014
Golf;NES;Sports;Nintendo;4.01;1984
Fallout 3;PS3;Role-Playing;Bethesda Softworks;4.01;2008
Professor Layton and the Diabolical Box;DS;Puzzle;Nintendo;4.0;2007
Left 4 Dead 2;X360;Shooter;Electronic Arts;3.99;2009
Namco Museum: 50th Anniversary;PS2;Misc;Namco Bandai Games;3.98;2005
EA Sports Active;Wii;Sports;Electronic Arts;3.92;2009
Assassin's Creed: Unity;PS4;Action;Ubisoft;3.92;2014
Donkey Kong Land;GB;Platform;Nintendo;3.91;1994
Tony Hawk's Underground;PS2;Sports;Activision;3.9;2003
Assassin's Creed IV: Black Flag;PS3;Action;Ubisoft;3.89;2013
Monster Hunter 4 Ultimate;3DS;Role-Playing;Nintendo;3.89;2014
MotorStorm;PS3;Racing;Sony Computer Entertainment;3.88;2006
The Elder Scrolls V: Skyrim;PC;Role-Playing;Bethesda Softworks;3.88;2011
Tekken 5;PS2;Fighting;Namco Bandai Games;3.87;2005
Dragon Warrior III;NES;Role-Playing;Enix Corporation;3.87;1988
Sports Champions;PS3;Sports;Sony Computer Entertainment;3.87;2010
NBA 2K16;PS4;Sports;Take-Two Interactive;3.85;2015
World Soccer Winning Eleven 8 International;PS2;Sports;Konami Digital Entertainment;3.85;2004
Flash Focus: Vision Training in Minutes a Day;DS;Misc;Nintendo;3.84;2007
Namco Museum Vol.1;PS;Misc;Sony Computer Entertainment;3.84;1995
The Legend of Zelda: Link's Awakening;GB;Action;Nintendo;3.83;1992
Mario & Luigi: Bowser's Inside Story;DS;Role-Playing;Nintendo;3.83;2009
Big Brain Academy: Wii Degree;Wii;Misc;Nintendo;3.82;2007
Nintendogs + cats;3DS;Simulation;Nintendo;3.81;2011
Batman: Arkham Knight;PS4;Action;Warner Bros. Interactive Entertainment;3.79;2015
Mario & Sonic at the London 2012 Olympic Games;Wii;Sports;Sega;3.78;2011
LEGO Indiana Jones: The Original Adventures;X360;Action;Activision;3.78;2008
Resident Evil Director's Cut;PS;Action;Virgin Interactive;3.77;1996
Ratchet & Clank: Size Matters;PSP;Platform;Sony Computer Entertainment;3.77;2007
Just Dance 2014;Wii;Misc;Ubisoft;3.76;2013
The Sims: Unleashed;PC;Simulation;Electronic Arts;3.76;2002
Super Paper Mario;Wii;Platform;Nintendo;3.76;2007
Harry Potter and the Sorcerer's Stone;PS;Action;Electronic Arts;3.73;2001
The Witcher 3: Wild Hunt;PS4;Role-Playing;Namco Bandai Games;3.73;2015
Resident Evil 3: Nemesis;PS;Action;Eidos Interactive;3.72;1999
Spyro: Year of the Dragon;PS;Platform;Sony Computer Entertainment;3.71;2000
FIFA Soccer 2005;PS2;Sports;Electronic Arts;3.7;2004
Pokémon Trading Card Game;GB;Strategy;Nintendo;3.7;1998
Battlefield 4;PS3;Shooter;Electronic Arts;3.69;2013
MySims;DS;Simulation;Electronic Arts;3.69;2007
Friend Collection;DS;Misc;Nintendo;3.67;2009
Tony Hawk's Pro Skater 4;PS2;Sports;Activision;3.67;2002
Midnight Club 3: DUB Edition;PSP;Racing;Take-Two Interactive;3.66;2005
Banjo-Kazooie;N64;Platform;Nintendo;3.65;1998
SOCOM: U.S. Navy SEALs;PS2;Shooter;Sony Computer Entertainment;3.65;2002
Guitar Hero: World Tour;Wii;Misc;Activision;3.65;2008
Gran Turismo 6;PS3;Racing;Sony Computer Entertainment;3.64;2013
Jak and Daxter: The Precursor Legacy;PS2;Platform;Sony Computer Entertainment;3.64;2001
Pokemon Snap;N64;Simulation;Nintendo;3.63;1999
FIFA Soccer 10;PS3;Sports;Electronic Arts;3.63;2009
Pro Evolution Soccer 2008;PS2;Sports;Konami Digital Entertainment;3.63;2007
Call of Duty: Ghosts;PS4;Shooter;Activision;3.63;2013
Resident Evil 4;PS2;Action;Capcom;3.62;2005
Tom Clancy's The Division;PS4;Shooter;Ubisoft;3.61;2016
Star Wars: Battlefront;PS2;Shooter;LucasArts;3.61;2004
Doom II: Hell on Earth;PC;Shooter;Virgin Interactive;3.61;1994
The Simpsons: Road Rage;PS2;Racing;Electronic Arts;3.61;2001
Cooking Mama 2: Dinner With Friends;DS;Simulation;505 Games;3.61;2007
Luigi's Mansion;GC;Action;Nintendo;3.6;2001
Star Wars: Battlefront II;PS2;Shooter;LucasArts;3.59;2005
WWF SmackDown!;PS;Fighting;THQ;3.58;2000
Croc: Legend of the Gobbos;PS;Platform;Fox Interactive;3.56;1997
Grand Theft Auto: Liberty City Stories;PS2;Action;Take-Two Interactive;3.54;2006
The Getaway;PS2;Action;Sony Computer Entertainment;3.54;2002
Tomb Raider III: Adventures of Lara Croft;PS;Action;Eidos Interactive;3.54;1997
James Bond 007: Agent Under Fire;PS2;Shooter;Electronic Arts;3.53;2001
LEGO Star Wars: The Video Game;PS2;Action;Eidos Interactive;3.53;2005
Battlefield 4;X360;Shooter;Electronic Arts;3.53;2013
FIFA Soccer 11;X360;Sports;Electronic Arts;3.53;2010
Rugrats in Paris: The Movie;PS;Action;THQ;3.52;2000
Spyro 2: Ripto's Rage!;PS;Platform;Sony Computer Entertainment;3.52;1999
Left 4 Dead;X360;Shooter;Electronic Arts;3.52;2008
Mario & Sonic at the Olympic Winter Games;DS;Sports;Sega;3.52;2009
Resident Evil 5;X360;Action;Capcom;3.51;2009
Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;Platform;Nintendo;3.51;1996
Assassin's Creed: Brotherhood;X360;Action;Ubisoft;3.5;2010
Kung Fu;NES;Action;Nintendo;3.5;1985
Batman: Arkham Asylum;X360;Action;Eidos Interactive;3.5;2009
Clubhouse Games;DS;Misc;Nintendo;3.5;2006
Star Wars Battlefront (2015);XOne;Shooter;Electronic Arts;3.49;2015
Battlefield: Bad Company 2;X360;Shooter;Electronic Arts;3.48;2010
Guitar Hero: On Tour;DS;Misc;Activision;3.48;2008
Assassin's Creed: Unity;XOne;Action;Ubisoft;3.46;2014
Far Cry 3;PS3;Shooter;Ubisoft;3.45;2012
Monster Hunter 4;3DS;Role-Playing;Capcom;3.44;2013
Borderlands;X360;Shooter;Take-Two Interactive;3.44;2009
Tekken 4;PS2;Fighting;Namco Bandai Games;3.44;2002
Battlefield 4;PS4;Shooter;Electronic Arts;3.43;2013
LittleBigPlanet 2;PS3;Platform;Sony Computer Entertainment;3.42;2011
Grand Theft Auto 2;PS;Action;Take-Two Interactive;3.42;1998
Final Fantasy III;SNES;Role-Playing;SquareSoft;3.42;1994
Spider-Man 2;PS2;Action;Activision;3.41;2004
F-1 Race;GB;Racing;Nintendo;3.41;1990
FIFA Soccer 2003;PS2;Sports;Electronic Arts;3.4;2002
Crash Bash;PS;Misc;Sony Computer Entertainment;3.39;2000
LEGO Batman: The Videogame;X360;Action;Warner Bros. Interactive Entertainment;3.38;2008
Metal Gear Solid V: The Phantom Pain;PS4;Action;Konami Digital Entertainment;3.38;2015
The Legend of Zelda: Spirit Tracks;DS;Action;Nintendo;3.38;2009
WWF War Zone;PS;Fighting;Acclaim Entertainment;3.36;1998
The Legend of Zelda: Majora's Mask;N64;Action;Nintendo;3.36;2000
Professor Layton and the Unwound Future;DS;Puzzle;Nintendo;3.36;2008
Rugrats: Search For Reptar;PS;Adventure;THQ;3.34;1998
Assassin's Creed IV: Black Flag;X360;Action;Ubisoft;3.34;2013
